warn: LLAMA_API_KEY environment variable is set, but will be overwritten by command line argument --api-key
warning: no usable GPU found, --gpu-layers option will be ignored
warning: one possible reason is that llama.cpp was compiled without GPU support
warning: consult docs/build.md for compilation instructions
0.00.006.988 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.009.000 I srv    load_model: loading model '/home/rojan-upreti/Desktop/nvdiahackathon/llm/qwen2.5-0.5b/Qwen2.5-0.5B-Instruct-Q4_K_M.gguf'
0.00.615.793 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.124.965 I cmn          init: llama threadpool init, n_threads = 6
0.01.203.563 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.214.336 I srv  llama_server: model loaded
0.01.214.344 I srv  llama_server: listening on http://127.0.0.1:8081
3.15.855.474 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
59.41.333.985 I slot launch_slot_: id  1 | task 7135 | processing task, is_child = 0
59.44.671.989 I slot print_timing: id  2 | task 3279 | n_gen =   3853, tg =  18.44 t/s, tg_3s =   7.32 t/s
59.46.057.247 I slot print_timing: id  1 | task 7135 | prompt eval time =    3336.70 ms /   798 tokens (    4.18 ms per token,   239.16 tokens per second)
59.46.057.259 I slot print_timing: id  1 | task 7135 |        eval time =    1386.43 ms /    20 tokens (   72.97 ms per token,    13.70 tokens per second)
59.46.057.261 I slot print_timing: id  1 | task 7135 |       total time =    4723.12 ms /   818 tokens
59.46.057.264 I slot print_timing: id  1 | task 7135 |    graphs reused =       7087
59.46.059.455 I slot      release: id  1 | task 7135 | stop processing: n_tokens = 1174, truncated = 0
59.47.720.991 I slot print_timing: id  2 | task 3279 | n_gen =   3897, tg =  18.38 t/s, tg_3s =  14.43 t/s
59.50.742.209 I slot print_timing: id  2 | task 3279 | n_gen =   3958, tg =  18.41 t/s, tg_3s =  20.19 t/s
59.53.749.177 I slot print_timing: id  2 | task 3279 | n_gen =   4015, tg =  18.41 t/s, tg_3s =  18.96 t/s
59.56.772.042 I slot print_timing: id  2 | task 3279 | n_gen =   4079, tg =  18.45 t/s, tg_3s =  21.17 t/s
59.59.785.258 I slot print_timing: id  2 | task 3279 | n_gen =   4147, tg =  18.51 t/s, tg_3s =  22.57 t/s
60.02.803.590 I slot print_timing: id  2 | task 3279 | n_gen =   4202, tg =  18.50 t/s, tg_3s =  18.22 t/s
60.05.828.650 I slot print_timing: id  2 | task 3279 | n_gen =   4266, tg =  18.54 t/s, tg_3s =  21.16 t/s
60.08.860.739 I slot print_timing: id  2 | task 3279 | n_gen =   4331, tg =  18.58 t/s, tg_3s =  21.44 t/s
60.11.898.108 I slot print_timing: id  2 | task 3279 | n_gen =   4388, tg =  18.58 t/s, tg_3s =  18.77 t/s
60.14.898.548 I slot print_timing: id  2 | task 3279 | n_gen =   4452, tg =  18.61 t/s, tg_3s =  21.33 t/s
60.17.944.683 I slot print_timing: id  2 | task 3279 | n_gen =   4511, tg =  18.62 t/s, tg_3s =  19.37 t/s
60.20.969.167 I slot print_timing: id  2 | task 3279 | n_gen =   4572, tg =  18.64 t/s, tg_3s =  20.17 t/s
60.24.021.110 I slot print_timing: id  2 | task 3279 | n_gen =   4636, tg =  18.67 t/s, tg_3s =  20.97 t/s
60.27.021.581 I slot print_timing: id  2 | task 3279 | n_gen =   4692, tg =  18.67 t/s, tg_3s =  18.66 t/s
60.30.064.320 I slot print_timing: id  2 | task 3279 | n_gen =   4756, tg =  18.70 t/s, tg_3s =  21.03 t/s
60.33.082.637 I slot print_timing: id  2 | task 3279 | n_gen =   4806, tg =  18.67 t/s, tg_3s =  16.57 t/s
60.36.087.747 I slot print_timing: id  2 | task 3279 | n_gen =   4857, tg =  18.65 t/s, tg_3s =  16.97 t/s
60.39.102.558 I slot print_timing: id  2 | task 3279 | n_gen =   4913, tg =  18.65 t/s, tg_3s =  18.57 t/s
60.42.191.425 I slot print_timing: id  2 | task 3279 | n_gen =   4959, tg =  18.61 t/s, tg_3s =  14.89 t/s
60.45.233.740 I slot print_timing: id  2 | task 3279 | n_gen =   5016, tg =  18.61 t/s, tg_3s =  18.74 t/s
60.48.265.603 I slot print_timing: id  2 | task 3279 | n_gen =   5071, tg =  18.60 t/s, tg_3s =  18.14 t/s
60.51.280.800 I slot print_timing: id  2 | task 3279 | n_gen =   5124, tg =  18.59 t/s, tg_3s =  17.58 t/s
60.54.323.760 I slot print_timing: id  2 | task 3279 | n_gen =   5179, tg =  18.59 t/s, tg_3s =  18.07 t/s
60.57.368.559 I slot print_timing: id  2 | task 3279 | n_gen =   5232, tg =  18.57 t/s, tg_3s =  17.41 t/s
61.00.404.878 I slot print_timing: id  2 | task 3279 | n_gen =   5287, tg =  18.57 t/s, tg_3s =  18.12 t/s
61.03.439.993 I slot print_timing: id  2 | task 3279 | n_gen =   5342, tg =  18.57 t/s, tg_3s =  18.11 t/s
61.06.487.892 I slot print_timing: id  2 | task 3279 | n_gen =   5389, tg =  18.53 t/s, tg_3s =  15.42 t/s
61.09.510.834 I slot print_timing: id  2 | task 3279 | n_gen =   5443, tg =  18.53 t/s, tg_3s =  17.86 t/s
61.12.540.112 I slot print_timing: id  2 | task 3279 | n_gen =   5487, tg =  18.48 t/s, tg_3s =  14.52 t/s
61.15.583.704 I slot print_timing: id  2 | task 3279 | n_gen =   5534, tg =  18.45 t/s, tg_3s =  15.44 t/s
61.18.598.098 I slot print_timing: id  2 | task 3279 | n_gen =   5588, tg =  18.45 t/s, tg_3s =  17.91 t/s
61.21.645.795 I slot print_timing: id  2 | task 3279 | n_gen =   5636, tg =  18.42 t/s, tg_3s =  15.75 t/s
61.23.365.183 W decode: failed to find a memory slot for batch of size 1
61.23.365.298 W srv  try_clear_id: purging slot 1 with 1174 tokens
61.23.365.544 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 0, n_batch = 2048, ret = 1
61.24.658.603 I slot print_timing: id  2 | task 3279 | n_gen =   5689, tg =  18.41 t/s, tg_3s =  17.59 t/s
61.27.710.415 I slot print_timing: id  2 | task 3279 | n_gen =   5740, tg =  18.40 t/s, tg_3s =  16.71 t/s
61.30.759.069 I slot print_timing: id  2 | task 3279 | n_gen =   5782, tg =  18.35 t/s, tg_3s =  13.78 t/s
61.31.124.592 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
61.31.124.955 E state_read_meta: failed to find 1377 available cells in kv cache
61.31.127.230 E state_seq_set_data: error loading state: failed to restore kv cache
61.31.127.326 E srv          load: failed to restore state with size 16937700
61.31.127.352 W slot  prompt_load: id  0 | task -1 | failed to load prompt from cache
61.31.127.501 I slot launch_slot_: id  0 | task 9070 | processing task, is_child = 0
61.31.136.176 W decode: failed to find a memory slot for batch of size 1378
61.31.136.424 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 0, n_batch = 1024, ret = 1
61.37.080.848 I slot print_timing: id  2 | task 3279 | n_gen =   5787, tg =  18.01 t/s, tg_3s =   0.79 t/s
61.37.081.285 W decode: failed to find a memory slot for batch of size 354
61.37.081.327 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1024, n_batch = 1024, ret = 1
61.37.081.634 W decode: failed to find a memory slot for batch of size 354
61.37.081.663 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1024, n_batch = 512, ret = 1
61.37.081.985 W decode: failed to find a memory slot for batch of size 354
61.37.082.010 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1024, n_batch = 256, ret = 1
61.37.082.251 W decode: failed to find a memory slot for batch of size 256
61.37.082.284 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1024, n_batch = 128, ret = 1
61.37.082.494 W decode: failed to find a memory slot for batch of size 128
61.37.082.517 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1024, n_batch = 64, ret = 1
61.37.083.852 W decode: failed to find a memory slot for batch of size 64
61.37.083.913 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1024, n_batch = 32, ret = 1
61.37.084.098 W decode: failed to find a memory slot for batch of size 32
61.37.084.140 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1024, n_batch = 16, ret = 1
61.37.178.889 W decode: failed to find a memory slot for batch of size 338
61.37.178.913 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 1024, ret = 1
61.37.179.151 W decode: failed to find a memory slot for batch of size 338
61.37.179.174 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 512, ret = 1
61.37.179.419 W decode: failed to find a memory slot for batch of size 338
61.37.179.439 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 256, ret = 1
61.37.179.662 W decode: failed to find a memory slot for batch of size 256
61.37.179.683 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 128, ret = 1
61.37.180.942 W decode: failed to find a memory slot for batch of size 128
61.37.180.968 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 64, ret = 1
61.37.181.181 W decode: failed to find a memory slot for batch of size 64
61.37.181.253 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 32, ret = 1
61.37.181.440 W decode: failed to find a memory slot for batch of size 32
61.37.181.488 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 16, ret = 1
61.37.181.686 W decode: failed to find a memory slot for batch of size 16
61.37.181.710 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1040, n_batch = 8, ret = 1
61.37.235.529 W decode: failed to find a memory slot for batch of size 330
61.37.235.558 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 1024, ret = 1
61.37.235.794 W decode: failed to find a memory slot for batch of size 330
61.37.235.824 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 512, ret = 1
61.37.236.046 W decode: failed to find a memory slot for batch of size 330
61.37.236.066 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 256, ret = 1
61.37.236.315 W decode: failed to find a memory slot for batch of size 256
61.37.236.533 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 128, ret = 1
61.37.236.809 W decode: failed to find a memory slot for batch of size 128
61.37.236.830 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 64, ret = 1
61.37.237.080 W decode: failed to find a memory slot for batch of size 64
61.37.237.130 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 32, ret = 1
61.37.237.393 W decode: failed to find a memory slot for batch of size 32
61.37.237.437 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 16, ret = 1
61.37.237.703 W decode: failed to find a memory slot for batch of size 16
61.37.237.750 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 8, ret = 1
61.37.238.034 W decode: failed to find a memory slot for batch of size 8
61.37.238.174 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1048, n_batch = 4, ret = 1
61.37.278.674 W decode: failed to find a memory slot for batch of size 326
61.37.278.696 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 1024, ret = 1
61.37.278.980 W decode: failed to find a memory slot for batch of size 326
61.37.279.000 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 512, ret = 1
61.37.279.310 W decode: failed to find a memory slot for batch of size 326
61.37.279.331 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 256, ret = 1
61.37.279.606 W decode: failed to find a memory slot for batch of size 256
61.37.279.626 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 128, ret = 1
61.37.279.886 W decode: failed to find a memory slot for batch of size 128
61.37.279.907 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 64, ret = 1
61.37.280.155 W decode: failed to find a memory slot for batch of size 64
61.37.280.175 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 32, ret = 1
61.37.280.429 W decode: failed to find a memory slot for batch of size 32
61.37.280.449 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 16, ret = 1
61.37.280.688 W decode: failed to find a memory slot for batch of size 16
61.37.280.708 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 8, ret = 1
61.37.280.950 W decode: failed to find a memory slot for batch of size 8
61.37.280.969 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 4, ret = 1
61.37.281.213 W decode: failed to find a memory slot for batch of size 4
61.37.281.237 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1052, n_batch = 2, ret = 1
61.37.313.546 W decode: failed to find a memory slot for batch of size 324
61.37.313.570 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 1024, ret = 1
61.37.313.848 W decode: failed to find a memory slot for batch of size 324
61.37.313.869 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 512, ret = 1
61.37.314.144 W decode: failed to find a memory slot for batch of size 324
61.37.314.165 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 256, ret = 1
61.37.314.441 W decode: failed to find a memory slot for batch of size 256
61.37.314.463 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 128, ret = 1
61.37.314.714 W decode: failed to find a memory slot for batch of size 128
61.37.314.734 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 64, ret = 1
61.37.314.979 W decode: failed to find a memory slot for batch of size 64
61.37.315.001 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 32, ret = 1
61.37.315.244 W decode: failed to find a memory slot for batch of size 32
61.37.315.265 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 16, ret = 1
61.37.315.692 W decode: failed to find a memory slot for batch of size 16
61.37.315.712 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 8, ret = 1
61.37.315.943 W decode: failed to find a memory slot for batch of size 8
61.37.315.964 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 4, ret = 1
61.37.316.206 W decode: failed to find a memory slot for batch of size 4
61.37.316.259 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 2, ret = 1
61.37.316.484 W decode: failed to find a memory slot for batch of size 2
61.37.316.510 W srv        decode: failed to find free space in the KV cache, retrying with smaller batch size, off = 1054, n_batch = 1, ret = 1
61.37.316.738 W decode: failed to find a memory slot for batch of size 1
61.37.316.765 E srv        decode: Context size has been exceeded. off = 1054, n_batch = 1, ret = 1
61.37.316.766 E srv    send_error: task id = 9070, error: Context size has been exceeded.
61.37.316.775 I slot      release: id  0 | task 9070 | stop processing: n_tokens = 1377, truncated = 0
61.37.316.789 W srv          stop: cancel task, id_task = 9070
61.37.316.939 E srv    send_error: task id = 3279, error: Context size has been exceeded.
61.37.316.942 I slot      release: id  2 | task 3279 | stop processing: n_tokens = 7139, truncated = 0
61.37.316.959 W srv          stop: cancel task, id_task = 3279
61.37.321.006 E srv  update_slots: decode() failed: Context size has been exceeded.
62.33.296.879 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 6733174440
62.33.307.779 I slot launch_slot_: id  3 | task 9074 | processing task, is_child = 0
62.38.287.212 I slot print_timing: id  3 | task 9074 | prompt eval time =    4388.04 ms /   940 tokens (    4.67 ms per token,   214.22 tokens per second)
62.38.287.225 I slot print_timing: id  3 | task 9074 |        eval time =     591.23 ms /    10 tokens (   65.69 ms per token,    15.22 tokens per second)
62.38.287.227 I slot print_timing: id  3 | task 9074 |       total time =    4979.27 ms /   950 tokens
62.38.287.231 I slot print_timing: id  3 | task 9074 |    graphs reused =       9002
62.38.294.710 I slot      release: id  3 | task 9074 | stop processing: n_tokens = 1306, truncated = 0
63.48.243.431 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 1.000 (> 0.100 thold), f_keep = 0.993
63.48.244.493 I slot launch_slot_: id  3 | task 9085 | processing task, is_child = 0
63.48.244.686 W slot   operator(): id  3 | task 9085 | need to evaluate at least 1 token for each active slot (n_past = 1297, task.n_tokens() = 1297)
63.48.244.688 W slot   operator(): id  3 | task 9085 | n_past was set to 1296
63.49.790.721 I slot print_timing: id  3 | task 9085 | prompt eval time =     640.57 ms /     1 tokens (  640.57 ms per token,     1.56 tokens per second)
63.49.790.730 I slot print_timing: id  3 | task 9085 |        eval time =     905.41 ms /    21 tokens (   45.27 ms per token,    22.09 tokens per second)
63.49.790.734 I slot print_timing: id  3 | task 9085 |       total time =    1545.98 ms /    22 tokens
63.49.790.736 I slot print_timing: id  3 | task 9085 |    graphs reused =       9023
63.49.791.067 I slot      release: id  3 | task 9085 | stop processing: n_tokens = 1317, truncated = 0
66.21.532.847 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.167 (> 0.100 thold), f_keep = 0.004
66.21.542.229 I slot launch_slot_: id  3 | task 9107 | processing task, is_child = 0
66.21.975.937 I slot print_timing: id  3 | task 9107 | prompt eval time =     150.18 ms /    25 tokens (    6.01 ms per token,   166.46 tokens per second)
66.21.975.946 I slot print_timing: id  3 | task 9107 |        eval time =     283.41 ms /     8 tokens (   40.49 ms per token,    24.70 tokens per second)
66.21.975.947 I slot print_timing: id  3 | task 9107 |       total time =     433.60 ms /    33 tokens
66.21.975.950 I slot print_timing: id  3 | task 9107 |    graphs reused =       9029
66.21.976.416 I slot      release: id  3 | task 9107 | stop processing: n_tokens = 37, truncated = 0
67.47.909.118 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 9951025277
67.47.909.688 I slot launch_slot_: id  1 | task 9116 | processing task, is_child = 0
67.52.689.467 I slot print_timing: id  1 | task 9116 | prompt eval time =    4410.40 ms /   961 tokens (    4.59 ms per token,   217.89 tokens per second)
67.52.689.480 I slot print_timing: id  1 | task 9116 |        eval time =     366.27 ms /    10 tokens (   40.70 ms per token,    24.57 tokens per second)
67.52.689.482 I slot print_timing: id  1 | task 9116 |       total time =    4776.67 ms /   971 tokens
67.52.689.486 I slot print_timing: id  1 | task 9116 |    graphs reused =       9037
67.52.690.748 I slot      release: id  1 | task 9116 | stop processing: n_tokens = 970, truncated = 0
68.35.864.994 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10062282589
68.35.865.332 I slot launch_slot_: id  0 | task 9127 | processing task, is_child = 0
68.36.184.086 I slot print_timing: id  0 | task 9127 | prompt eval time =      74.77 ms /    11 tokens (    6.80 ms per token,   147.11 tokens per second)
68.36.184.092 I slot print_timing: id  0 | task 9127 |        eval time =     208.45 ms /     7 tokens (   34.74 ms per token,    28.78 tokens per second)
68.36.184.094 I slot print_timing: id  0 | task 9127 |       total time =     283.22 ms /    18 tokens
68.36.184.096 I slot print_timing: id  0 | task 9127 |    graphs reused =       9042
68.36.184.585 I slot      release: id  0 | task 9127 | stop processing: n_tokens = 41, truncated = 0
69.08.396.834 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 10062282756
69.08.396.901 I slot launch_slot_: id  2 | task 9135 | processing task, is_child = 0
69.12.991.966 I slot print_timing: id  2 | task 9135 | prompt eval time =    4238.56 ms /   920 tokens (    4.61 ms per token,   217.05 tokens per second)
69.12.991.978 I slot print_timing: id  2 | task 9135 |        eval time =     355.85 ms /    10 tokens (   39.54 ms per token,    25.29 tokens per second)
69.12.991.981 I slot print_timing: id  2 | task 9135 |       total time =    4594.41 ms /   930 tokens
69.12.991.983 I slot print_timing: id  2 | task 9135 |    graphs reused =       9050
69.12.994.654 I slot      release: id  2 | task 9135 | stop processing: n_tokens = 929, truncated = 0
69.23.802.344 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 10346942236
69.23.802.428 I slot launch_slot_: id  3 | task 9146 | processing task, is_child = 0
69.28.875.012 I slot print_timing: id  3 | task 9146 | prompt eval time =    4094.43 ms /   980 tokens (    4.18 ms per token,   239.35 tokens per second)
69.28.875.029 I slot print_timing: id  3 | task 9146 |        eval time =     964.70 ms /    25 tokens (   40.20 ms per token,    24.88 tokens per second)
69.28.875.031 I slot print_timing: id  3 | task 9146 |       total time =    5059.13 ms /  1005 tokens
69.28.875.034 I slot print_timing: id  3 | task 9146 |    graphs reused =       9073
69.28.875.152 I slot      release: id  3 | task 9146 | stop processing: n_tokens = 1004, truncated = 0
70.18.888.981 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 10437656567
70.18.889.574 I slot launch_slot_: id  1 | task 9172 | processing task, is_child = 0
70.26.341.300 I slot print_timing: id  1 | task 9172 | prompt processing, n_tokens =   2048, progress = 0.79, t =   7.44 s / 275.25 tokens per second
70.33.043.655 I slot print_timing: id  1 | task 9172 | n_gen =    100, tg =  23.78 t/s, tg_3s =  24.02 t/s
70.36.076.961 I slot print_timing: id  1 | task 9172 | n_gen =    172, tg =  23.76 t/s, tg_3s =  23.74 t/s
70.39.107.469 I slot print_timing: id  1 | task 9172 | n_gen =    240, tg =  23.37 t/s, tg_3s =  22.44 t/s
70.42.144.118 I slot print_timing: id  1 | task 9172 | n_gen =    310, tg =  23.30 t/s, tg_3s =  23.05 t/s
70.43.446.560 I slot print_timing: id  1 | task 9172 | prompt eval time =    9979.58 ms /  2591 tokens (    3.85 ms per token,   259.63 tokens per second)
70.43.446.565 I slot print_timing: id  1 | task 9172 |        eval time =   14565.18 ms /   341 tokens (   42.84 ms per token,    23.34 tokens per second)
70.43.446.567 I slot print_timing: id  1 | task 9172 |       total time =   24544.76 ms /  2932 tokens
70.43.446.781 I slot print_timing: id  1 | task 9172 |    graphs reused =       9411
70.43.473.283 I slot      release: id  1 | task 9172 | stop processing: n_tokens = 2931, truncated = 0
74.59.307.263 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10481150401
74.59.309.400 I slot launch_slot_: id  0 | task 9515 | processing task, is_child = 0
75.07.982.314 I slot print_timing: id  0 | task 9515 | n_gen =    100, tg =  27.38 t/s, tg_3s =  27.65 t/s
75.11.013.896 I slot print_timing: id  0 | task 9515 | n_gen =    184, tg =  27.53 t/s, tg_3s =  27.71 t/s
75.14.021.661 I slot print_timing: id  0 | task 9515 | n_gen =    268, tg =  27.65 t/s, tg_3s =  27.93 t/s
75.14.835.458 I slot print_timing: id  0 | task 9515 | prompt eval time =    5025.62 ms /  1287 tokens (    3.90 ms per token,   256.09 tokens per second)
75.14.835.837 I slot print_timing: id  0 | task 9515 |        eval time =   10469.61 ms /   286 tokens (   36.74 ms per token,    27.22 tokens per second)
75.14.835.912 I slot print_timing: id  0 | task 9515 |       total time =   15495.23 ms /  1573 tokens
75.14.835.974 I slot print_timing: id  0 | task 9515 |    graphs reused =       9694
75.14.856.252 I slot      release: id  0 | task 9515 | stop processing: n_tokens = 1572, truncated = 0
78.12.403.863 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 10517960473
78.12.404.852 I slot launch_slot_: id  2 | task 9802 | processing task, is_child = 0
78.17.723.088 I slot print_timing: id  2 | task 9802 | prompt eval time =    4439.00 ms /  1336 tokens (    3.32 ms per token,   300.97 tokens per second)
78.17.723.097 I slot print_timing: id  2 | task 9802 |        eval time =     848.03 ms /    26 tokens (   33.92 ms per token,    29.48 tokens per second)
78.17.723.099 I slot print_timing: id  2 | task 9802 |       total time =    5287.03 ms /  1362 tokens
78.17.723.102 I slot print_timing: id  2 | task 9802 |    graphs reused =       9718
78.17.730.102 I slot      release: id  2 | task 9802 | stop processing: n_tokens = 1361, truncated = 0
